,user,uservec,itemid,itemvec,userid
0,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],17,[1.00000e+00 2.11406e-01 3.60000e-05 2.77300e-03 5.69886e-01 2.15900e-01],0
1,0.80.10.00.50.30.0,[0.8 0.1 0.  0.5 0.3 0. ],2,[1.00000e+00 4.38513e-01 3.00000e-06 3.07140e-02 3.84494e-01 1.46277e-01],67
2,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],5,[1.00000e+00 3.13277e-01 1.25000e-04 1.84130e-02 4.10555e-01 2.57630e-01],0
3,0.80.00.70.00.10.0,[0.8 0.  0.7 0.  0.1 0. ],4,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],151
4,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],3,[1.00000e+00 3.31830e-01 2.20000e-05 1.99040e-02 4.40390e-01 2.07855e-01],0
5,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],8,[1.00000e+00 2.77121e-01 1.31000e-04 3.81530e-02 3.35835e-01 3.48760e-01],0
6,0.90.30.00.20.30.0,[0.9 0.3 0.  0.2 0.3 0. ],1,[1.00000e+00 2.95442e-01 1.40000e-05 1.35191e-01 2.92304e-01 2.77050e-01],66
7,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],7,[1.       0.249086 0.001009 0.514682 0.067732 0.167491],0
8,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],7,[1.       0.249086 0.001009 0.514682 0.067732 0.167491],0
9,0.80.60.00.10.10.0,[0.8 0.6 0.  0.1 0.1 0. ],2,[1.00000e+00 4.38513e-01 3.00000e-06 3.07140e-02 3.84494e-01 1.46277e-01],14
10,0.80.20.60.00.00.0,[0.8 0.2 0.6 0.  0.  0. ],19,[1.00000e+00 2.81649e-01 1.73000e-04 1.95994e-01 1.51003e-01 3.71182e-01],96
11,0.80.50.00.20.10.0,[0.8 0.5 0.  0.2 0.1 0. ],1,[1.00000e+00 2.95442e-01 1.40000e-05 1.35191e-01 2.92304e-01 2.77050e-01],30
12,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],6,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],0
13,0.80.10.20.00.10.5,[0.8 0.1 0.2 0.  0.1 0.5],7,[1.       0.249086 0.001009 0.514682 0.067732 0.167491],218
14,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],11,[1.00000e+00 2.64355e-01 1.20000e-05 3.73930e-02 4.20649e-01 2.77591e-01],0
15,0.80.00.00.60.10.0,[0.8 0.  0.  0.6 0.1 0. ],9,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],11
16,0.80.10.00.20.50.0,[0.8 0.1 0.  0.2 0.5 0. ],6,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],22
17,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],19,[1.00000e+00 2.81649e-01 1.73000e-04 1.95994e-01 1.51003e-01 3.71182e-01],0
18,0.90.30.10.10.30.0,[0.9 0.3 0.1 0.1 0.3 0. ],3,[1.00000e+00 3.31830e-01 2.20000e-05 1.99040e-02 4.40390e-01 2.07855e-01],180
19,0.90.40.20.00.30.0,[0.9 0.4 0.2 0.  0.3 0. ],7,[1.       0.249086 0.001009 0.514682 0.067732 0.167491],116
20,0.80.00.00.50.20.0,[0.8 0.  0.  0.5 0.2 0. ],13,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],109
21,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],17,[1.00000e+00 2.11406e-01 3.60000e-05 2.77300e-03 5.69886e-01 2.15900e-01],0
22,0.70.00.00.70.00.0,[0.7 0.  0.  0.7 0.  0. ],4,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],1
23,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],4,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],0
24,0.70.00.10.00.70.0,[0.7 0.  0.1 0.  0.7 0. ],14,[1.00000e+00 2.87909e-01 2.50000e-05 8.98300e-03 5.11333e-01 1.91751e-01],68
25,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],1,[1.00000e+00 2.95442e-01 1.40000e-05 1.35191e-01 2.92304e-01 2.77050e-01],0
26,0.70.00.70.00.00.0,[0.7 0.  0.7 0.  0.  0. ],19,[1.00000e+00 2.81649e-01 1.73000e-04 1.95994e-01 1.51003e-01 3.71182e-01],5
27,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],16,[1.00000e+00 2.97322e-01 2.50000e-05 3.49510e-02 4.13566e-01 2.54137e-01],0
28,0.80.40.10.00.30.0,[0.8 0.4 0.1 0.  0.3 0. ],17,[1.00000e+00 2.11406e-01 3.60000e-05 2.77300e-03 5.69886e-01 2.15900e-01],29
29,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],11,[1.00000e+00 2.64355e-01 1.20000e-05 3.73930e-02 4.20649e-01 2.77591e-01],0
30,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],15,[1.00000e+00 3.81149e-01 1.29000e-04 6.00380e-02 2.69129e-01 2.89554e-01],0
31,0.80.00.40.00.40.0,[0.8 0.  0.4 0.  0.4 0. ],12,[1.00000e+00 2.64355e-01 1.20000e-05 3.73930e-02 4.20649e-01 2.77591e-01],55
32,0.80.50.10.00.30.0,[0.8 0.5 0.1 0.  0.3 0. ],10,[1.00000e+00 3.75829e-01 2.50000e-05 3.30410e-02 3.49637e-01 2.41468e-01],32
33,0.80.10.00.60.10.0,[0.8 0.1 0.  0.6 0.1 0. ],7,[1.       0.249086 0.001009 0.514682 0.067732 0.167491],8
34,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],14,[1.00000e+00 2.87909e-01 2.50000e-05 8.98300e-03 5.11333e-01 1.91751e-01],0
35,0.80.00.00.10.10.6,[0.8 0.  0.  0.1 0.1 0.6],5,[1.00000e+00 3.13277e-01 1.25000e-04 1.84130e-02 4.10555e-01 2.57630e-01],182
36,0.80.10.10.00.60.0,[0.8 0.1 0.1 0.  0.6 0. ],5,[1.00000e+00 3.13277e-01 1.25000e-04 1.84130e-02 4.10555e-01 2.57630e-01],15
37,0.70.00.00.00.70.0,[0.7 0.  0.  0.  0.7 0. ],7,[1.       0.249086 0.001009 0.514682 0.067732 0.167491],3
38,0.80.00.00.60.10.0,[0.8 0.  0.  0.6 0.1 0. ],1,[1.00000e+00 2.95442e-01 1.40000e-05 1.35191e-01 2.92304e-01 2.77050e-01],11
39,0.90.50.00.10.20.0,[0.9 0.5 0.  0.1 0.2 0. ],17,[1.00000e+00 2.11406e-01 3.60000e-05 2.77300e-03 5.69886e-01 2.15900e-01],297
40,0.80.20.00.60.10.0,[0.8 0.2 0.  0.6 0.1 0. ],3,[1.00000e+00 3.31830e-01 2.20000e-05 1.99040e-02 4.40390e-01 2.07855e-01],87
41,0.80.50.10.10.20.0,[0.8 0.5 0.1 0.1 0.2 0. ],18,[1.00000e+00 2.97750e-01 1.30000e-05 1.16030e-02 5.12182e-01 1.78452e-01],70
42,0.70.00.00.70.00.0,[0.7 0.  0.  0.7 0.  0. ],6,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],1
43,0.70.00.00.70.00.0,[0.7 0.  0.  0.7 0.  0. ],19,[1.00000e+00 2.81649e-01 1.73000e-04 1.95994e-01 1.51003e-01 3.71182e-01],1
44,0.80.10.60.00.10.0,[0.8 0.1 0.6 0.  0.1 0. ],12,[1.00000e+00 2.64355e-01 1.20000e-05 3.73930e-02 4.20649e-01 2.77591e-01],9
45,0.80.40.00.10.40.0,[0.8 0.4 0.  0.1 0.4 0. ],16,[1.00000e+00 2.97322e-01 2.50000e-05 3.49510e-02 4.13566e-01 2.54137e-01],225
46,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],11,[1.00000e+00 2.64355e-01 1.20000e-05 3.73930e-02 4.20649e-01 2.77591e-01],0
47,0.80.50.00.10.20.0,[0.8 0.5 0.  0.1 0.2 0. ],17,[1.00000e+00 2.11406e-01 3.60000e-05 2.77300e-03 5.69886e-01 2.15900e-01],4
48,0.80.10.60.00.10.0,[0.8 0.1 0.6 0.  0.1 0. ],5,[1.00000e+00 3.13277e-01 1.25000e-04 1.84130e-02 4.10555e-01 2.57630e-01],9
49,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],9,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],0
50,0.70.00.00.70.00.0,[0.7 0.  0.  0.7 0.  0. ],15,[1.00000e+00 3.81149e-01 1.29000e-04 6.00380e-02 2.69129e-01 2.89554e-01],1
51,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],0,[1.00000e+00 4.21669e-01 1.10000e-05 1.09020e-02 3.09585e-01 2.57833e-01],0
52,0.80.00.00.40.40.0,[0.8 0.  0.  0.4 0.4 0. ],19,[1.00000e+00 2.81649e-01 1.73000e-04 1.95994e-01 1.51003e-01 3.71182e-01],25
53,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],18,[1.00000e+00 2.97750e-01 1.30000e-05 1.16030e-02 5.12182e-01 1.78452e-01],0
54,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],7,[1.       0.249086 0.001009 0.514682 0.067732 0.167491],0
55,0.80.50.10.00.20.0,[0.8 0.5 0.1 0.  0.2 0. ],7,[1.       0.249086 0.001009 0.514682 0.067732 0.167491],2
56,0.80.00.00.00.10.6,[0.8 0.  0.  0.  0.1 0.6],15,[1.00000e+00 3.81149e-01 1.29000e-04 6.00380e-02 2.69129e-01 2.89554e-01],75
57,0.70.00.00.70.00.0,[0.7 0.  0.  0.7 0.  0. ],9,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],1
58,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],0,[1.00000e+00 4.21669e-01 1.10000e-05 1.09020e-02 3.09585e-01 2.57833e-01],0
59,0.90.40.20.10.20.0,[0.9 0.4 0.2 0.1 0.2 0. ],10,[1.00000e+00 3.75829e-01 2.50000e-05 3.30410e-02 3.49637e-01 2.41468e-01],206
60,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],14,[1.00000e+00 2.87909e-01 2.50000e-05 8.98300e-03 5.11333e-01 1.91751e-01],0
61,0.80.20.10.10.50.0,[0.8 0.2 0.1 0.1 0.5 0. ],16,[1.00000e+00 2.97322e-01 2.50000e-05 3.49510e-02 4.13566e-01 2.54137e-01],72
62,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],4,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],0
63,0.80.00.10.00.60.0,[0.8 0.  0.1 0.  0.6 0. ],5,[1.00000e+00 3.13277e-01 1.25000e-04 1.84130e-02 4.10555e-01 2.57630e-01],17
64,0.80.20.50.00.20.0,[0.8 0.2 0.5 0.  0.2 0. ],0,[1.00000e+00 4.21669e-01 1.10000e-05 1.09020e-02 3.09585e-01 2.57833e-01],35
65,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],17,[1.00000e+00 2.11406e-01 3.60000e-05 2.77300e-03 5.69886e-01 2.15900e-01],0
66,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],5,[1.00000e+00 3.13277e-01 1.25000e-04 1.84130e-02 4.10555e-01 2.57630e-01],0
67,0.70.00.00.00.00.7,[0.7 0.  0.  0.  0.  0.7],3,[1.00000e+00 3.31830e-01 2.20000e-05 1.99040e-02 4.40390e-01 2.07855e-01],0
68,0.80.00.60.00.10.0,[0.8 0.  0.6 0.  0.1 0. ],17,[1.00000e+00 2.11406e-01 3.60000e-05 2.77300e-03 5.69886e-01 2.15900e-01],40
69,0.80.00.00.10.60.0,[0.8 0.  0.  0.1 0.6 0. ],13,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],6
70,0.70.00.00.70.00.0,[0.7 0.  0.  0.7 0.  0. ],11,[1.00000e+00 2.64355e-01 1.20000e-05 3.73930e-02 4.20649e-01 2.77591e-01],1
71,0.70.00.70.00.10.0,[0.7 0.  0.7 0.  0.1 0. ],7,[1.       0.249086 0.001009 0.514682 0.067732 0.167491],86
72,0.80.10.00.00.10.6,[0.8 0.1 0.  0.  0.1 0.6],5,[1.00000e+00 3.13277e-01 1.25000e-04 1.84130e-02 4.10555e-01 2.57630e-01],112
73,0.80.10.00.60.10.0,[0.8 0.1 0.  0.6 0.1 0. ],9,[1.00000e+00 3.06008e-01 4.50000e-04 7.70480e-02 2.30439e-01 3.86055e-01],8
